match_id,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_possession,away_possession
1035037,6.0,17.0,1.0,8.0,0.33,2.08,5.0,14.0,1.0,3.0,34.0,66.0
1035038,15.0,6.0,7.0,2.0,0.83,1.18,8.0,4.0,7.0,2.0,78.0,22.0
1035039,14.0,16.0,5.0,3.0,1.37,1.07,5.0,12.0,9.0,4.0,63.0,37.0
1035041,19.0,9.0,9.0,2.0,2.73,1.5,14.0,6.0,5.0,3.0,41.0,59.0
1035040,27.0,9.0,12.0,3.0,4.01,1.48,20.0,7.0,7.0,2.0,71.0,29.0
1035042,8.0,24.0,1.0,8.0,0.51,1.89,4.0,17.0,4.0,7.0,32.0,68.0
1035043,17.0,16.0,13.0,6.0,3.41,1.77,14.0,12.0,3.0,4.0,53.0,47.0
1035044,11.0,18.0,6.0,6.0,2.22,1.27,9.0,12.0,2.0,6.0,30.0,70.0
1035045,10.0,13.0,4.0,1.0,1.35,1.28,9.0,8.0,1.0,5.0,65.0,35.0
1035046,15.0,23.0,3.0,6.0,2.21,2.35,12.0,17.0,3.0,6.0,51.0,49.0
1035052,14.0,7.0,4.0,1.0,1.08,0.29,10.0,4.0,4.0,3.0,60.0,40.0
1035047,13.0,9.0,7.0,2.0,3.0,0.63,9.0,6.0,4.0,3.0,60.0,40.0
1035055,12.0,17.0,6.0,4.0,1.8,2.49,7.0,11.0,5.0,6.0,24.0,76.0
1035048,14.0,14.0,2.0,3.0,1.01,2.02,10.0,11.0,4.0,3.0,47.0,53.0
1035062,19.0,11.0,8.0,1.0,2.27,0.44,16.0,7.0,3.0,4.0,67.0,33.0
1035057,11.0,17.0,3.0,6.0,0.67,2.06,6.0,12.0,5.0,5.0,43.0,57.0
1035064,18.0,9.0,9.0,4.0,2.83,1.21,7.0,7.0,11.0,2.0,66.0,34.0
1035058,19.0,8.0,11.0,3.0,3.2,0.56,16.0,6.0,3.0,2.0,71.0,29.0
1035063,15.0,11.0,7.0,2.0,1.34,1.08,11.0,7.0,4.0,4.0,47.0,53.0
1035059,12.0,15.0,1.0,5.0,0.97,0.8,10.0,10.0,2.0,5.0,60.0,40.0
1035067,17.0,10.0,5.0,2.0,2.27,0.94,12.0,7.0,5.0,3.0,55.0,45.0
1035086,11.0,16.0,2.0,6.0,0.63,2.52,7.0,11.0,4.0,5.0,34.0,66.0
1035081,14.0,10.0,4.0,8.0,0.96,1.7,8.0,7.0,6.0,3.0,44.0,56.0
1035080,13.0,7.0,2.0,2.0,0.96,1.1,6.0,7.0,7.0,0.0,78.0,22.0
1035084,28.0,7.0,10.0,5.0,2.12,0.66,19.0,6.0,9.0,1.0,70.0,30.0
1035085,6.0,29.0,3.0,15.0,0.94,3.63,5.0,18.0,1.0,11.0,32.0,68.0
1035078,16.0,6.0,5.0,3.0,3.21,1.17,12.0,4.0,4.0,2.0,67.0,33.0
1035082,9.0,11.0,2.0,2.0,1.44,0.5,5.0,8.0,4.0,3.0,56.0,44.0
1035077,13.0,14.0,4.0,6.0,1.04,1.85,9.0,9.0,4.0,5.0,35.0,65.0
